date,ticker,side,weight,price
2024-12-09,1000PEPE/USDT:USDT,entry,0.006136231410036218,0.0264932
2024-12-09,DYM/USDT:USDT,entry,-0.0074297976466157125,2.004
2024-12-09,FIL/USDT:USDT,entry,-0.008656304555754323,6.267
2024-12-09,STRK/USDT:USDT,entry,-0.007912182599963008,0.6209
2024-12-09,SUI/USDT:USDT,entry,0.012122535321255531,3.8345
2024-12-09,XRP/USDT:USDT,entry,0.0067554751495627315,2.2122
2024-12-10,1000PEPE/USDT:USDT,exit_stop,0.006136231410036218,0.0234776
2024-12-13,DYM/USDT:USDT,exit_stop,-0.0074297976466157125,2.1749
2024-12-14,SUI/USDT:USDT,exit_stop,0.012122535321255531,4.4569
2024-12-16,1000PEPE/USDT:USDT,entry,0.01043260308566818,0.0234483
2024-12-16,DOGE/USDT:USDT,entry,0.014634362936804724,0.40185
2024-12-16,DYM/USDT:USDT,entry,-0.007736042427631482,1.9924
2024-12-18,1000PEPE/USDT:USDT,exit_stop,0.01043260308566818,0.0194236
2024-12-18,DOGE/USDT:USDT,exit_stop,0.014634362936804724,0.35808
2024-12-18,XRP/USDT:USDT,exit_stop,0.00789020550117063,2.309
2024-12-23,1000PEPE/USDT:USDT,entry,0.009470804523703523,0.0184704
2024-12-23,FIL/USDT:USDT,exit_signal,-0.009237010846435452,5.195
2024-12-23,TON/USDT:USDT,entry,-0.015096713770772735,5.5975
2024-12-23,XRP/USDT:USDT,entry,0.008463997669812451,2.2611
2024-12-23,ZEC/USDT:USDT,entry,0.007570429682497501,65.8
2024-12-25,TON/USDT:USDT,exit_stop,-0.015096713770772735,5.9455
2024-12-26,XRP/USDT:USDT,exit_stop,0.008463997669812451,2.1549
2024-12-26,ZEC/USDT:USDT,exit_stop,0.007570429682497501,68.89
2024-12-30,ICP/USDT:USDT,entry,-0.010432545200826406,10.025
2024-12-30,SUI/USDT:USDT,entry,0.009612157442544405,4.1781
2024-12-30,XRP/USDT:USDT,entry,0.009206485851661372,2.0579
2025-01-02,ICP/USDT:USDT,exit_stop,-0.010432545200826406,10.687
2025-01-03,DYM/USDT:USDT,exit_stop,-0.010008967817770801,1.5057
2025-01-03,STRK/USDT:USDT,exit_stop,-0.011429893408279334,0.5183
2025-01-06,DYM/USDT:USDT,entry,-0.010262259075568263,1.5317
2025-01-06,ICP/USDT:USDT,entry,-0.009847199045139844,12.187
2025-01-06,STRK/USDT:USDT,entry,-0.011828538065301094,0.5211
2025-01-07,1000PEPE/USDT:USDT,exit_stop,0.010984684718533378,0.0185778
2025-01-07,SUI/USDT:USDT,exit_stop,0.00974113613287892,4.7841
2025-01-07,XRP/USDT:USDT,exit_stop,0.01334014875882449,2.2698
2025-01-10,DYM/USDT:USDT,exit_stop,-0.010262259075568263,1.2432
2025-01-13,DYM/USDT:USDT,entry,-0.012236824960764538,1.1279
2025-01-13,SUI/USDT:USDT,entry,0.011418440862024625,4.7453
2025-01-13,XRP/USDT:USDT,entry,0.014489889598620829,2.5225
2025-01-13,ZEC/USDT:USDT,entry,0.010676580593818622,48.4
2025-01-14,STRK/USDT:USDT,exit_stop,-0.014812947473824023,0.4289
2025-01-15,DYM/USDT:USDT,exit_stop,-0.012236824960764538,1.281
2025-01-15,ICP/USDT:USDT,exit_stop,-0.01162162680363046,11.026
2025-01-18,ZEC/USDT:USDT,exit_stop,0.010676580593818622,51.96
2025-01-19,XRP/USDT:USDT,exit_stop,0.014489889598620829,2.9555
2025-01-20,SUI/USDT:USDT,exit_stop,0.011418440862024625,4.4162
2025-01-20,DYM/USDT:USDT,entry,-0.010951530100179872,1.125
2025-01-20,STRK/USDT:USDT,entry,-0.014597733947410074,0.3808
2025-01-20,SUI/USDT:USDT,entry,0.012557667363758252,4.4162
2025-01-20,TON/USDT:USDT,entry,-0.021217967948285614,5.0298
2025-01-20,XRP/USDT:USDT,entry,0.011695392568948405,3.1042
2025-01-20,ZEC/USDT:USDT,entry,0.010906210646951853,47.57
2025-01-22,TON/USDT:USDT,exit_stop,-0.021217967948285614,5.2967
2025-01-23,SUI/USDT:USDT,exit_stop,0.012557667363758252,4.302
2025-01-26,ZEC/USDT:USDT,exit_stop,0.010906210646951853,44.77
2025-01-27,SUI/USDT:USDT,entry,0.012896561953417063,3.9618
2025-01-27,TON/USDT:USDT,entry,-0.022016752922916376,5.0098
2025-01-27,ZEC/USDT:USDT,entry,0.014282537788046503,43.14
2025-01-28,SUI/USDT:USDT,exit_stop,0.012896561953417063,3.6514
2025-01-30,STRK/USDT:USDT,exit_stop,-0.015255518856987407,0.3528
2025-02-01,XRP/USDT:USDT,exit_stop,0.011994367669586444,2.8768
