date,ticker,side,weight,price
2025-04-07,360ONE.NS,entry,0.00952642664054263,871.6250610351562
2025-04-07,AARTIIND.NS,entry,-0.012632691111497984,354.1558532714844
2025-04-07,ABSLAMC.NS,entry,0.01500639859700884,616.8496704101562
2025-04-07,ACC.NS,entry,-0.015167560312432642,1921.34423828125
2025-04-07,ACE.NS,entry,-0.011068241619797971,1184.6231689453125
2025-04-07,ADANIENSOL.NS,entry,-0.01120514040549717,815.0499877929688
2025-04-07,ADANIENT.NS,entry,-0.015167560312432642,2211.603515625
2025-04-07,ADANIGREEN.NS,entry,-0.00968725661874912,873.2999877929688
2025-04-07,AFFLE.NS,entry,0.012490549728010407,1447.8499755859375
2025-04-07,AMBER.NS,entry,0.009498418915316168,6151.39990234375
2025-04-07,ANANTRAJ.NS,entry,0.008611443324957687,416.0991516113281
2025-04-07,ANGELONE.NS,entry,-0.008273752032789643,207.8410186767578
2025-04-07,ARE&M.NS,entry,0.011485995367321167,944.2294921875
2025-04-07,ASIANPAINT.NS,entry,-0.015167560312432642,2316.330810546875
2025-04-07,ASTERDM.NS,entry,0.015167560312432642,472.9367370605469
2025-04-07,ASTRAL.NS,entry,-0.015167560312432642,1284.2281494140625
2025-04-07,ATGL.NS,entry,-0.014429335472512775,569.48828125
2025-04-07,AWL.NS,entry,-0.012841341157528293,269.75
2025-04-07,BAJAJHLDNG.NS,entry,0.011913360049519301,10704.8876953125
2025-04-07,BANKINDIA.NS,entry,-0.011700344569858627,102.06694793701172
2025-04-07,BEL.NS,entry,0.015021294755076846,270.3194274902344
2025-04-07,BHARTIARTL.NS,entry,0.015167560312432642,1672.666748046875
2025-04-07,BIKAJI.NS,entry,0.01364014274151589,670.7550659179688
2025-04-07,BLUEJET.NS,entry,0.009247711821925127,654.5484619140625
2025-04-07,BLUESTARCO.NS,entry,0.011748279059909657,1952.8193359375
2025-04-07,BSE.NS,entry,0.0058782623703873835,1722.052001953125
2025-04-07,BSOFT.NS,entry,-0.013385503099335793,341.7164001464844
2025-04-07,CANBK.NS,entry,-0.013933926866244568,84.08719635009766
2025-04-07,CANFINHOME.NS,entry,-0.015167560312432642,637.628173828125
2025-04-07,CAPLIPOINT.NS,entry,0.010985095548321678,1839.5714111328125
2025-04-07,CARBORUNIV.NS,entry,-0.01288047093028439,947.3161010742188
2025-04-07,CARTRADE.NS,entry,0.0086780752914342,1464.199951171875
2025-04-07,CENTRALBK.NS,entry,-0.009903002912872664,33.24251174926758
2025-04-07,CHAMBLFERT.NS,entry,0.011925788573682846,600.5684814453125
2025-04-07,CHENNPETRO.NS,entry,-0.008688072522176344,585.5072631835938
2025-04-07,CHOICEIN.NS,entry,0.015167560312432642,483.95001220703125
2025-04-07,CHOLAHLDNG.NS,entry,0.010400337261908794,1557.7764892578125
2025-04-07,COCHINSHIP.NS,entry,0.01014413018968769,1330.284912109375
2025-04-07,COFORGE.NS,entry,0.01036350728323176,1256.3458251953125
2025-04-07,CONCOR.NS,entry,-0.012152052273846897,510.5525817871094
2025-04-07,COROMANDEL.NS,entry,0.01498768436110999,1953.5501708984375
2025-04-07,CREDITACC.NS,entry,-0.008555984554058746,956.0
2025-04-07,CROMPTON.NS,entry,0.015167560312432642,327.3855895996094
2025-04-07,CYIENT.NS,entry,-0.013694948738835769,1094.4552001953125
2025-04-07,DATAPATTNS.NS,entry,-0.008661764359050432,1637.7860107421875
2025-04-07,DEEPAKFERT.NS,entry,0.010471624721638257,1086.66796875
2025-04-07,DELHIVERY.NS,entry,-0.013369728411077862,268.3500061035156
2025-04-07,DIVISLAB.NS,entry,0.015167560312432642,5235.11279296875
2025-04-07,DIXON.NS,entry,0.011627502993609271,12550.46484375
2025-04-07,DLF.NS,entry,-0.012732899416406651,603.634765625
2025-04-07,DOMS.NS,entry,0.011334292408153137,2633.152099609375
2025-04-07,EICHERMOT.NS,entry,0.015167560312432642,5000.412109375
2025-04-07,EIHOTEL.NS,entry,-0.012981581732496307,350.55706787109375
2025-04-07,ELGIEQUIP.NS,entry,-0.00860555802134305,417.78314208984375
2025-04-07,ENGINERSIN.NS,entry,-0.01081413432199196,153.52610778808594
2025-04-07,ERIS.NS,entry,0.01318492671255896,1274.6500244140625
2025-04-07,FORTIS.NS,entry,0.014358537692601422,632.601806640625
2025-04-07,FSL.NS,entry,0.00844813003952061,304.4551696777344
2025-04-07,GABRIEL.NS,entry,0.007558340401424713,516.0743408203125
2025-04-07,GALLANTT.NS,entry,0.00869507412782128,394.75445556640625
2025-04-07,GLAXO.NS,entry,0.011036910102445011,2541.168701171875
2025-04-07,GLENMARK.NS,entry,0.01504901059552789,1438.671142578125
2025-04-07,GMDCLTD.NS,entry,-0.011888110928641928,256.8249816894531
2025-04-07,GODFRYPHLP.NS,entry,0.008790793039241893,2091.957275390625
2025-04-07,GODREJIND.NS,entry,0.007271101258717185,1044.949951171875
2025-04-07,GRAPHITE.NS,entry,-0.009901100087494112,442.9922790527344
2025-04-07,GRAVITA.NS,entry,0.009493832976945695,1587.990966796875
2025-04-07,GRSE.NS,entry,0.006916968553038063,1512.874267578125
2025-04-07,GVT&D.NS,entry,0.00969187875320747,1293.1806640625
2025-04-07,HINDCOPPER.NS,entry,-0.009778848702502861,186.73609924316406
2025-04-07,HINDZINC.NS,entry,0.012345179889841178,391.6643371582031
2025-04-07,HONASA.NS,entry,-0.013131362608301686,221.8300018310547
2025-04-07,HSCL.NS,entry,0.009890985192129616,411.9286804199219
2025-04-07,IDEA.NS,entry,-0.006928555417123381,7.360000133514404
2025-04-07,IDFCFIRSTB.NS,entry,-0.014249675778146141,56.30570983886719
2025-04-07,INDHOTEL.NS,entry,0.012328913010235237,749.7453002929688
2025-04-07,INDIACEM.NS,entry,0.009588885207246942,275.8500061035156
2025-04-07,INDIAMART.NS,entry,-0.01448863839202303,1886.154296875
2025-04-07,INDIGO.NS,entry,0.015167560312432642,4980.2841796875
2025-04-07,INDUSINDBK.NS,entry,-0.005829246291106103,675.9000244140625
2025-04-07,INTELLECT.NS,entry,-0.012250169751265926,621.247802734375
2025-04-07,IOB.NS,entry,-0.011889698581337791,34.83000183105469
2025-04-07,IOC.NS,entry,-0.015167560312432642,120.13497924804688
2025-04-07,IRB.NS,entry,-0.013026666575959531,21.490068435668945
2025-04-07,IRCON.NS,entry,-0.009469150278682874,142.1527862548828
2025-04-07,IRCTC.NS,entry,-0.015167560312432642,687.6386108398438
2025-04-07,J&KBANK.NS,entry,-0.013451660181768863,88.82028198242188
2025-04-07,JBMA.NS,entry,-0.007145960023433892,586.865478515625
2025-04-07,JIOFIN.NS,entry,-0.012866860240848446,213.18756103515625
2025-04-07,JKTYRE.NS,entry,-0.011310095081956328,260.93841552734375
2025-04-07,JUBLFOOD.NS,entry,0.013418546356273509,668.4845581054688
2025-04-07,JUBLINGREA.NS,entry,0.010556301035136776,600.1356811523438
2025-04-07,JUBLPHARMA.NS,entry,0.012044794118474356,879.591064453125
2025-04-07,KAJARIACER.NS,entry,-0.015167560312432642,777.4539184570312
2025-04-07,KAYNES.NS,entry,0.010299913164306255,4439.2998046875
2025-04-07,KFINTECH.NS,entry,0.010116897144309809,989.5745849609375
2025-04-07,KIRLOSENG.NS,entry,-0.01121866621767037,704.0242919921875
2025-04-07,LATENTVIEW.NS,entry,-0.012141318250592933,352.04998779296875
2025-04-07,LAURUSLABS.NS,entry,0.012734249899324668,559.4656372070312
2025-04-07,LLOYDSME.NS,entry,0.00775975147937291,1117.4649658203125
2025-04-07,LTFOODS.NS,entry,0.010974932152627834,334.53363037109375
2025-04-07,M&M.NS,entry,0.014120308948508426,2471.39453125
2025-04-07,MAHABANK.NS,entry,-0.012971075270744377,41.68768310546875
2025-04-07,MAXHEALTH.NS,entry,0.010978179903737992,1074.2603759765625
2025-04-07,MAZDOCK.NS,entry,0.008618799834024957,2300.37158203125
2025-04-07,MCX.NS,entry,0.01119493161235913,994.1232299804688
2025-04-07,MMTC.NS,entry,-0.009606680139644453,48.40999984741211
2025-04-07,MOTILALOFS.NS,entry,0.011212309974660538,561.1209106445312
2025-04-07,MRPL.NS,entry,-0.00812714252140003,126.51097869873047
2025-04-07,MSUMI.NS,entry,-0.015167560312432642,33.304256439208984
2025-04-07,MUTHOOTFIN.NS,entry,0.015167560312432642,2208.372314453125
2025-04-07,NAVA.NS,entry,0.008694153343474814,455.8436584472656
2025-04-07,NAVINFLUOR.NS,entry,0.015167560312432642,3870.138427734375
2025-04-07,NCC.NS,entry,-0.013893024184727246,195.43984985351562
2025-04-07,NEULANDLAB.NS,entry,0.008316607010409122,10953.279296875
2025-04-07,NEWGEN.NS,entry,0.009415352803940739,838.2931518554688
2025-04-07,NIACL.NS,entry,-0.010567694085298784,148.7590789794922
2025-04-07,NSLNISP.NS,entry,-0.010576095724601978,33.040000915527344
2025-04-07,NUVAMA.NS,entry,0.008841330318489337,968.1463623046875
2025-04-07,OLECTRA.NS,entry,-0.008973617755898486,1080.440185546875
2025-04-07,PARADEEP.NS,entry,0.00867997914472137,113.67925262451172
2025-04-07,PATANJALI.NS,entry,0.015167560312432642,587.2042236328125
2025-04-07,PAYTM.NS,entry,0.009806253465233793,790.5499877929688
2025-04-07,PCBL.NS,entry,0.011504441422763124,386.4396057128906
2025-04-07,PERSISTENT.NS,entry,0.011453199343806468,4544.94873046875
